The test Top1-0.705000, Top3-0.865000, Top5-0.935000
Sample 1: [154 175  59  75   1], Top-1 0, Top-5 1
Sample 2: [  2 150  87   3  58], Top-1 1, Top-5 1
Sample 3: [  3 156 194 171  27], Top-1 1, Top-5 1
Sample 4: [  4 156  42 170  62], Top-1 1, Top-5 1
Sample 5: [156   5  68  86 157], Top-1 0, Top-5 1
Sample 6: [156 124 153   6  26], Top-1 0, Top-5 1
Sample 7: [157 143  91  51  81], Top-1 0, Top-5 0
Sample 8: [  8  73  44 193 200], Top-1 1, Top-5 1
Sample 9: [ 30  49 188   9  79], Top-1 0, Top-5 1
Sample 10: [ 10 200  69 173 160], Top-1 1, Top-5 1
Sample 11: [ 11  98 198 105  47], Top-1 1, Top-5 1
Sample 12: [ 87  12 142  39 106], Top-1 0, Top-5 1
Sample 13: [ 13  74  31  28 154], Top-1 1, Top-5 1
Sample 14: [ 31 102  14 100 174], Top-1 0, Top-5 1
Sample 15: [ 15  32 147  83  68], Top-1 1, Top-5 1
Sample 16: [44 26 10 16 82], Top-1 0, Top-5 1
Sample 17: [200  35 164 175  17], Top-1 0, Top-5 1
Sample 18: [ 18 123 166 113  51], Top-1 1, Top-5 1
Sample 19: [ 19  24  94 107  90], Top-1 1, Top-5 1
Sample 20: [ 20  38 131  77  98], Top-1 1, Top-5 1
Sample 21: [ 21  66   8  58 161], Top-1 1, Top-5 1
Sample 22: [ 22 113  91 157 184], Top-1 1, Top-5 1
Sample 23: [ 23  41 178  49 188], Top-1 1, Top-5 1
Sample 24: [ 24 191  19 110 127], Top-1 1, Top-5 1
Sample 25: [ 25  31 100  84 197], Top-1 1, Top-5 1
Sample 26: [ 26 200  44 171  35], Top-1 1, Top-5 1
Sample 27: [163 174 113 184  32], Top-1 0, Top-5 0
Sample 28: [ 28 162 175 138 153], Top-1 1, Top-5 1
Sample 29: [ 29  55 123 195  32], Top-1 1, Top-5 1
Sample 30: [200 173 185 116  30], Top-1 0, Top-5 1
Sample 31: [ 31  25  84 119 197], Top-1 1, Top-5 1
Sample 32: [ 32 157  91  29 114], Top-1 1, Top-5 1
