The test Top1-0.750000, Top3-0.910000, Top5-0.935000
Sample 1: [  1  75 154 175  59], Top-1 1, Top-5 1
Sample 2: [  2  58 127  82  72], Top-1 1, Top-5 1
Sample 3: [  3 171 194  44  26], Top-1 1, Top-5 1
Sample 4: [  4 164   6 112  13], Top-1 1, Top-5 1
Sample 5: [  5  57  82  19 131], Top-1 1, Top-5 1
Sample 6: [  6 170  26   4 193], Top-1 1, Top-5 1
Sample 7: [ 51   7 147 109 112], Top-1 0, Top-5 1
Sample 8: [  8 125  74  73 178], Top-1 1, Top-5 1
Sample 9: [165  85  92 167 158], Top-1 0, Top-5 0
Sample 10: [ 10 185 200  69  97], Top-1 1, Top-5 1
Sample 11: [11 38 67 79 40], Top-1 1, Top-5 1
Sample 12: [ 12  39 137 142  87], Top-1 1, Top-5 1
Sample 13: [ 13 166 112  28 172], Top-1 1, Top-5 1
Sample 14: [ 31 172 102  14 100], Top-1 0, Top-5 1
Sample 15: [102  56  15 108  95], Top-1 0, Top-5 1
Sample 16: [ 11 156  16   4  82], Top-1 0, Top-5 1
Sample 17: [125  17 171 164 193], Top-1 0, Top-5 1
Sample 18: [123  18 113 109 122], Top-1 0, Top-5 1
Sample 19: [ 19 159 124  51 168], Top-1 1, Top-5 1
Sample 20: [  8  26  44 180 149], Top-1 0, Top-5 0
Sample 21: [ 21  94  16 134  90], Top-1 1, Top-5 1
Sample 22: [113  22  91  27 184], Top-1 0, Top-5 1
Sample 23: [ 23  40 139 121  38], Top-1 1, Top-5 1
Sample 24: [ 24  89  53  86 166], Top-1 1, Top-5 1
Sample 25: [ 25  31 100  14 115], Top-1 1, Top-5 1
Sample 26: [ 26  44 200 164  17], Top-1 1, Top-5 1
Sample 27: [163  55 113 141  27], Top-1 0, Top-5 1
Sample 28: [ 28  13 162  42 164], Top-1 1, Top-5 1
Sample 29: [123  29  55 135 195], Top-1 0, Top-5 1
Sample 30: [ 79 130 180 149  49], Top-1 0, Top-5 0
Sample 31: [ 31 102 153 191  56], Top-1 1, Top-5 1
Sample 32: [ 32  29 163  91 157], Top-1 1, Top-5 1
Sample 33: [ 33 142  87 176 137], Top-1 1, Top-5 1
Sample 34: [ 34 183  86 110  21], Top-1 1, Top-5 1
Sample 35: [ 35  71 173  20 116], Top-1 1, Top-5 1
Sample 36: [170  44  36   6   8], Top-1 0, Top-5 1
Sample 37: [ 37 127  40  45  52], Top-1 1, Top-5 1
Sample 38: [ 77  38  93 105 125], Top-1 0, Top-5 1
Sample 39: [ 39 133  87  63  12], Top-1 1, Top-5 1
Sample 40: [ 40  23 153 121 138], Top-1 1, Top-5 1
Sample 41: [ 41  56  16  40 105], Top-1 1, Top-5 1
Sample 42: [ 42 164 170   4  26], Top-1 1, Top-5 1
Sample 43: [ 43  65 188   7 186], Top-1 1, Top-5 1
Sample 44: [ 44 170  41   6 134], Top-1 1, Top-5 1
Sample 45: [ 45 176 181  96 160], Top-1 1, Top-5 1
Sample 46: [ 46 167  76  97 133], Top-1 1, Top-5 1
Sample 47: [200  47 173  35  73], Top-1 0, Top-5 1
Sample 48: [ 48  81 120 195 157], Top-1 1, Top-5 1
Sample 49: [ 49 180  23 121  40], Top-1 1, Top-5 1
Sample 50: [ 55  50 195  48 113], Top-1 0, Top-5 1
Sample 51: [ 18  51 123 109  43], Top-1 0, Top-5 1
Sample 52: [128  52 176 104  45], Top-1 0, Top-5 1
Sample 53: [ 53  89 117  75   1], Top-1 1, Top-5 1
Sample 54: [ 54 125  27 184 119], Top-1 1, Top-5 1
Sample 55: [ 55 163 123 102 119], Top-1 1, Top-5 1
Sample 56: [ 56  31 102 108  40], Top-1 1, Top-5 1
Sample 57: [195  57  29  55 159], Top-1 0, Top-5 1
Sample 58: [ 58  45  87  21 127], Top-1 1, Top-5 1
Sample 59: [ 59  75 154   1  85], Top-1 1, Top-5 1
Sample 60: [ 60   1 196  79 123], Top-1 1, Top-5 1
Sample 61: [ 61  64 140 119  81], Top-1 1, Top-5 1
Sample 62: [ 62 185  42 170 139], Top-1 1, Top-5 1
Sample 63: [ 63 191 106  14  39], Top-1 1, Top-5 1
Sample 64: [102  64 119  31  40], Top-1 0, Top-5 1
Sample 65: [ 65 158 165 112  85], Top-1 1, Top-5 1
Sample 66: [ 66 200  44   8  21], Top-1 1, Top-5 1
Sample 67: [ 79 122  67 179 198], Top-1 0, Top-5 1
Sample 68: [ 68 146  38   5  11], Top-1 1, Top-5 1
Sample 69: [ 69 171 185   3  44], Top-1 1, Top-5 1
Sample 70: [ 70 127   2  87 161], Top-1 1, Top-5 1
Sample 71: [ 71  73 200  35 173], Top-1 1, Top-5 1
Sample 72: [ 72 127  58   2  90], Top-1 1, Top-5 1
Sample 73: [ 73 193 124   8  71], Top-1 1, Top-5 1
Sample 74: [ 74  56 108 189  55], Top-1 1, Top-5 1
Sample 75: [ 75 154   1  59  79], Top-1 1, Top-5 1
Sample 76: [ 76  86  63 134 150], Top-1 1, Top-5 1
Sample 77: [ 77 181 160 173  16], Top-1 1, Top-5 1
Sample 78: [ 78 116   8  95  30], Top-1 1, Top-5 1
Sample 79: [ 79  60 181  98  64], Top-1 1, Top-5 1
Sample 80: [141 113 163 168  55], Top-1 0, Top-5 0
Sample 81: [101  81 163 120 123], Top-1 0, Top-5 1
Sample 82: [ 82  27  38  11 122], Top-1 1, Top-5 1
Sample 83: [ 83 104 174 114 166], Top-1 1, Top-5 1
Sample 84: [ 31  84 115 191 100], Top-1 0, Top-5 1
Sample 85: [ 85 158  75 182  59], Top-1 1, Top-5 1
Sample 86: [ 94  76  19 191 124], Top-1 0, Top-5 0
Sample 87: [ 87 142 127  58 161], Top-1 1, Top-5 1
Sample 88: [ 88  12 142  87 137], Top-1 1, Top-5 1
Sample 89: [ 89  24  72 127  76], Top-1 1, Top-5 1
Sample 90: [ 90  21  94  19 157], Top-1 1, Top-5 1
Sample 91: [ 91 195 120   7 113], Top-1 1, Top-5 1
Sample 92: [ 83 166 147  51 168], Top-1 0, Top-5 0
Sample 93: [ 93 116 173 181 146], Top-1 1, Top-5 1
Sample 94: [ 94  96  76  95 110], Top-1 1, Top-5 1
Sample 95: [ 95 102  55 163 108], Top-1 1, Top-5 1
Sample 96: [ 96  45 176 160 177], Top-1 1, Top-5 1
Sample 97: [ 58  97 111  70 136], Top-1 0, Top-5 1
Sample 98: [ 98  79 188 165  49], Top-1 1, Top-5 1
Sample 99: [ 99 158 102 108  85], Top-1 1, Top-5 1
Sample 100: [100 172 115  31  84], Top-1 1, Top-5 1
Sample 101: [101 125 163  55  81], Top-1 1, Top-5 1
Sample 102: [102 123 169 141 114], Top-1 1, Top-5 1
Sample 103: [103  67  11  79 130], Top-1 1, Top-5 1
