The test Top1-0.660000, Top3-0.870000, Top5-0.935000
Sample 1: [154   1  59 175 181], Top-1 0, Top-5 1
Sample 2: [  2 150 106  58 142], Top-1 1, Top-5 1
Sample 3: [  3 194  26 156 153], Top-1 1, Top-5 1
Sample 4: [  4 170  16 134 175], Top-1 1, Top-5 1
Sample 5: [  5   2 134 127 150], Top-1 1, Top-5 1
Sample 6: [  6 170  44 106   4], Top-1 1, Top-5 1
Sample 7: [  7 120 147 190 109], Top-1 1, Top-5 1
Sample 8: [187 125 184   3   8], Top-1 0, Top-5 1
Sample 9: [ 9 75 49 90 30], Top-1 1, Top-5 1
Sample 10: [ 10 185 200 175  69], Top-1 1, Top-5 1
Sample 11: [ 11 164 105  98 156], Top-1 1, Top-5 1
Sample 12: [137  12  87  33  39], Top-1 0, Top-5 1
Sample 13: [ 13  85 172  28  25], Top-1 1, Top-5 1
Sample 14: [ 14 100 191  31 172], Top-1 1, Top-5 1
Sample 15: [102  15 114 148 182], Top-1 0, Top-5 1
Sample 16: [ 11   3 200  35 105], Top-1 0, Top-5 0
Sample 17: [ 17 175  44 105 164], Top-1 1, Top-5 1
Sample 18: [174 113  55 123  18], Top-1 0, Top-5 1
Sample 19: [ 19 168  24 148 191], Top-1 1, Top-5 1
Sample 20: [ 44  20  35 200 164], Top-1 0, Top-5 1
Sample 21: [ 66  21  82 134  53], Top-1 0, Top-5 1
Sample 22: [113  22 174  91  27], Top-1 0, Top-5 1
Sample 23: [ 23 188  49 199  40], Top-1 1, Top-5 1
Sample 24: [ 24 110  51 190  43], Top-1 1, Top-5 1
Sample 25: [ 25 100  31  39  14], Top-1 1, Top-5 1
Sample 26: [ 26 200  44  66  17], Top-1 1, Top-5 1
Sample 27: [163 174 184 113 182], Top-1 0, Top-5 0
Sample 28: [ 28 162 138 153 194], Top-1 1, Top-5 1
Sample 29: [ 29 123 163  32  55], Top-1 1, Top-5 1
Sample 30: [185 200  10  30  17], Top-1 0, Top-5 1
Sample 31: [ 31 102  84  56  25], Top-1 1, Top-5 1
Sample 32: [ 32  29 163 114 123], Top-1 1, Top-5 1
Sample 33: [137  87 142  12  88], Top-1 0, Top-5 0
Sample 34: [ 34 183 151  89 110], Top-1 1, Top-5 1
Sample 35: [ 35 181 200  44  20], Top-1 1, Top-5 1
Sample 36: [ 36 170  21 134   9], Top-1 1, Top-5 1
Sample 37: [ 37 127 111  72  52], Top-1 1, Top-5 1
Sample 38: [ 93  67  38 103 181], Top-1 0, Top-5 1
Sample 39: [ 87  39 142  12 137], Top-1 0, Top-5 1
Sample 40: [ 40 187  23 178 180], Top-1 1, Top-5 1
Sample 41: [ 41  40 167  23 178], Top-1 1, Top-5 1
Sample 42: [ 62  42   4 127   9], Top-1 0, Top-5 1
Sample 43: [ 37  43  81 187 121], Top-1 0, Top-5 1
Sample 44: [ 44 171 105  26 200], Top-1 1, Top-5 1
Sample 45: [ 45 181 176 116  52], Top-1 1, Top-5 1
Sample 46: [152 127 141  46 133], Top-1 0, Top-5 1
Sample 47: [ 47 200 173  73 164], Top-1 1, Top-5 1
Sample 48: [120  48 109 114 195], Top-1 0, Top-5 1
Sample 49: [ 49 198 146  79 188], Top-1 1, Top-5 1
Sample 50: [113  55 120 123  50], Top-1 0, Top-5 1
Sample 51: [ 51 143 168  29 147], Top-1 1, Top-5 1
Sample 52: [ 52 176  37 128  45], Top-1 1, Top-5 1
Sample 53: [53 75 89 86 76], Top-1 1, Top-5 1
Sample 54: [184  54 125  27  40], Top-1 0, Top-5 1
Sample 55: [123  55 163  29  18], Top-1 0, Top-5 1
Sample 56: [102  56 114  31  84], Top-1 0, Top-5 1
Sample 57: [ 29 123 195  55 148], Top-1 0, Top-5 0
Sample 58: [ 58 127 150 106   2], Top-1 1, Top-5 1
Sample 59: [ 59  75 172 175 154], Top-1 1, Top-5 1
Sample 60: [60 79 75  1 59], Top-1 1, Top-5 1
Sample 61: [192 195 109  61  55], Top-1 0, Top-5 1
Sample 62: [ 62  42 187  93 139], Top-1 1, Top-5 1
Sample 63: [ 63  14 106  39 133], Top-1 1, Top-5 1
Sample 64: [102  64  29 148 101], Top-1 0, Top-5 1
Sample 65: [ 65   7 126 162 147], Top-1 1, Top-5 1
Sample 66: [ 66  44  35  26 200], Top-1 1, Top-5 1
Sample 67: [103  67  93  49 198], Top-1 0, Top-5 1
Sample 68: [ 68 154  67   1  93], Top-1 1, Top-5 1
Sample 69: [ 69  97 160  76 185], Top-1 1, Top-5 1
Sample 70: [142 111  87 129  70], Top-1 0, Top-5 1
Sample 71: [ 71  73 116 187   5], Top-1 1, Top-5 1
Sample 72: [ 58 127  72 142 137], Top-1 0, Top-5 1
Sample 73: [ 35  73 200  44  26], Top-1 0, Top-5 1
Sample 74: [ 74 191 141 170 193], Top-1 1, Top-5 1
Sample 75: [ 75 154  79  59 160], Top-1 1, Top-5 1
Sample 76: [ 76  86 161 150 106], Top-1 1, Top-5 1
Sample 77: [ 77 181 116  67 141], Top-1 1, Top-5 1
Sample 78: [116 198 180  78  41], Top-1 0, Top-5 1
Sample 79: [181  79  60  77 173], Top-1 0, Top-5 1
Sample 80: [ 80 112 190  43 174], Top-1 1, Top-5 1
Sample 81: [120  81 101  48 114], Top-1 0, Top-5 1
Sample 82: [82 66 68 19 98], Top-1 1, Top-5 1
Sample 83: [114  83 155 102 104], Top-1 0, Top-5 1
Sample 84: [100  84  31 115 172], Top-1 0, Top-5 1
Sample 85: [ 85  49 188 114 165], Top-1 1, Top-5 1
Sample 86: [ 19  53 183 195  86], Top-1 0, Top-5 1
Sample 87: [ 87 142  12 137 106], Top-1 1, Top-5 1
Sample 88: [129 111  88 142 137], Top-1 0, Top-5 1
Sample 89: [ 72 127  86 136  58], Top-1 0, Top-5 0
Sample 90: [ 90  19  49   5 146], Top-1 1, Top-5 1
Sample 91: [ 91 113  27 174  57], Top-1 1, Top-5 1
Sample 92: [102 166   4 148 191], Top-1 0, Top-5 0
Sample 93: [ 93  98 185 173 103], Top-1 1, Top-5 1
Sample 94: [ 94 196  95  19 182], Top-1 1, Top-5 1
Sample 95: [ 95 114 102 108  90], Top-1 1, Top-5 1
Sample 96: [ 45  96 176  58 177], Top-1 0, Top-5 1
Sample 97: [111 110  86 142  70], Top-1 0, Top-5 0
Sample 98: [98 93 11 68 38], Top-1 1, Top-5 1
Sample 99: [ 99  49 180  43 198], Top-1 1, Top-5 1
Sample 100: [100 115 172  31  84], Top-1 1, Top-5 1
